"class","cap.diameter","does.bruise.or.bleed","stem.height"
0,8.18,0,8.19
0,8.41,0,8.35
0,7.43,0,8.25
0,7.59,0,7.86
0,7.52,0,8.63
0,8.1,0,8.07
0,6.87,0,7.31
0,6.91,0,8.16
0,8,0,7.58
0,8.48,0,8.75
0,7.47,0,9.1
0,7.72,0,8.98
0,6.29,0,7.56
0,7.24,0,8.56
0,8.2,0,8.5
0,8.59,0,7.53
0,7.43,0,8.36
0,7.86,0,7.4
0,9.89,0,10.09
0,8.61,0,8.45
0,7.17,0,7.4
0,7.08,0,7.84
0,6.57,0,7.84
0,7.7,0,7.65
0,7.21,0,8.12
0,7.83,0,8.84
0,7.53,0,7.79
0,7.93,0,7.78
0,7.93,0,7.58
0,8.7,0,8.62
0,7.09,0,7.71
0,8.35,0,8.79
0,6.15,0,7.45
0,6.06,0,6.99
0,7.69,0,8.65
0,6.92,0,9.18
0,7.67,0,7.3
0,6.79,0,7.47
0,6.83,0,8.87
0,6.38,0,8.43
0,6.93,0,7.13
0,7.71,0,7.47
0,8.43,0,8.61
0,7.25,0,8.74
0,7.7,0,8.22
0,7.83,0,7.78
0,7.75,0,8.8
0,8.94,0,9.75
0,6.34,0,7.75
0,5.85,0,6.96
0,7.54,0,7.37
0,6.96,0,8.48
0,8,0,8.09
0,8.76,0,7.94
0,7.42,0,8.34
0,6.71,0,7.42
0,7.13,0,7.17
0,8.33,0,7.59
0,7.24,0,8.66
0,8.7,0,8.67
0,7.66,0,8.36
0,8.14,0,7.46
0,7.42,0,7.82
0,8.01,0,8.08
0,7.71,0,7.19
0,7.94,0,8.19
0,8.53,0,8.66
0,7.82,0,7.97
0,7.18,0,7.46
0,6.91,0,8.12
0,7.69,0,9.26
0,7.39,0,7.66
0,8.05,0,8.66
0,6.26,0,7.63
0,7.17,0,7.94
0,7.52,0,8.06
0,7.56,0,7.76
0,8.43,0,8.16
0,6.43,0,6.84
0,7.97,0,7.35
0,8.54,0,9.49
0,6.05,0,7.31
0,8.84,0,8.12
0,6.29,0,6.37
0,9.15,0,8.16
0,6.59,0,7.08
0,7.38,0,8.73
0,7.61,0,7.94
0,9.06,0,8.11
0,7.31,0,6.75
0,8.19,0,7.42
0,7.86,0,8.32
0,8.03,0,8.78
0,8.38,0,9.13
0,6.44,0,8.12
0,7.33,0,7.11
0,7.97,0,8.22
0,7.13,0,8.93
0,7.02,0,6.7
0,8.6,0,7.39
0,8.22,0,8.36
0,6.49,0,7.12
0,6.88,0,7.52
0,7.77,0,9.07
0,7.7,0,7.23
0,6.14,0,6.93
0,8.26,0,7.52
0,8.88,0,8.65
0,6.77,0,8.44
0,7.86,0,7.62
0,7.21,0,6.8
0,7.92,0,7.39
0,8.04,0,8.67
0,7.78,0,7.81
0,8.11,0,7.12
0,8.84,0,8.69
0,7.24,0,8.33
0,8.61,0,8.45
0,7.69,0,8.07
0,8.14,0,8.67
0,6.06,0,8.02
0,5.68,0,6.86
0,8.2,0,8.18
0,8.62,0,8.43
0,6.63,0,8.06
0,7.72,0,8.41
0,6.24,0,7.93
0,7.79,0,6.91
0,8.21,0,9
0,7.08,0,7.77
0,8.44,0,9.54
0,7.29,0,7.27
0,9.1,0,8.61
0,7.54,0,7.96
0,8.28,0,7.92
0,7.37,0,8.08
0,8.23,0,7.13
0,8.45,0,7.84
0,8.31,0,7.46
0,7.03,0,6.71
0,8.49,0,8.66
0,6.64,0,7.12
0,8.87,0,9.29
0,6.58,0,7.21
0,6.8,0,7.47
0,7.59,0,7.77
0,7.42,0,7.41
0,8.63,0,7.88
0,8.05,0,8.74
0,7.31,0,7.26
0,9.3,0,9
0,8.19,0,8.78
0,7.74,0,7.95
0,7.55,0,7.58
0,8.27,0,8.65
0,5.81,0,7.19
0,7.03,0,7.95
0,6.88,0,7.51
0,7.19,0,8.08
0,8.01,0,7.3
0,7.65,0,8.63
0,6.28,0,7.72
0,7.42,0,7.89
0,6.44,0,7.46
0,8.36,0,7.65
0,7.53,0,7.99
0,7.64,0,8.31
0,7.36,0,8.28
0,6.32,0,6.7
0,7.77,0,8.87
0,5.18,0,7.35
0,6.99,0,7.87
0,7.75,0,7.34
0,7.65,0,7.81
0,6.87,0,8.2
0,8.44,0,9.08
0,7.81,0,7.78
0,7.68,0,8.57
0,8.57,0,7.63
0,7.25,0,8.11
0,8.34,0,8.82
0,7.06,0,8.13
0,5.94,0,7.94
0,8.89,0,8.65
0,7.62,0,6.76
0,8.08,0,8.5
0,8.05,0,8.73
0,6.43,0,7.83
0,6.99,0,6.51
0,6.66,0,7.39
0,7.37,0,7.45
0,6.46,0,7.74
0,6.68,0,7.16
0,6.15,0,7.16
0,8.8,0,8.72
0,7.8,0,8.92
0,7.51,0,8.49
0,6.4,0,8.37
0,7.64,0,7.64
0,6.69,0,8.2
0,8.64,0,8.11
0,6.74,0,7.94
0,6.23,0,6.69
0,6.38,0,7.89
0,8.36,0,8.13
0,7.99,0,8.57
0,8.28,0,9.79
0,7.98,0,7.95
0,6.14,0,7.2
0,7.02,0,8.27
0,7.66,0,7.08
0,6.91,0,7.15
0,8.63,0,8.34
0,7.96,0,8.64
0,7.75,0,8.15
0,9.14,0,9.43
0,6.21,0,7.33
0,7.85,0,8.69
0,7.52,0,8.09
0,8.29,0,8.36
0,7.33,0,8.65
0,7.43,0,7.39
0,8.26,0,7.98
0,8.46,0,8.14
0,8.33,0,7.98
0,7.07,0,7.16
0,8.41,0,8
0,6.6,0,8.2
0,7.93,0,7.51
0,7.85,0,7
0,6.32,0,7.46
0,7.51,0,8.04
0,6.97,0,8.01
0,7.1,0,7.75
0,8.43,0,9.37
0,6.15,0,7.57
0,9.98,0,9.53
0,7.48,0,8.69
0,7.93,0,8.71
0,5.6,0,7.02
0,7.11,0,7.91
0,8.66,0,7.74
0,8.08,0,7.99
0,7.76,0,8.13
0,6.41,0,6.86
0,8.46,0,8.85
0,7.39,0,7.83
0,7.47,0,7.56
0,7.62,0,8.99
0,9.23,0,8.5
0,8.12,0,8.6
0,7.9,0,7.5
0,8.36,0,9.84
0,6.64,0,7.32
0,7.57,0,6.48
0,11.82,0,11.38
0,11.96,0,10.95
0,10.47,0,10.81
0,11.94,0,10.62
0,13.15,0,11.3
0,11.99,0,11.2
0,11.44,0,10.86
0,11.84,0,10.85
0,12.26,0,11.3
0,13.34,0,11.41
0,12.42,0,10.87
0,12.48,0,11.33
0,12.68,0,11.16
0,13.92,0,11.11
0,12.37,0,11.17
0,13.21,0,11.37
0,11.17,0,10.98
0,11.71,0,10.43
0,12.69,0,11
0,13.31,0,11.22
0,11.78,0,10.89
0,12.74,0,11.16
0,11.6,0,10.94
0,12.27,0,11.2
0,11.49,0,10.93
0,13.31,0,11.13
0,12.32,0,10.96
0,11.23,0,10.4
0,13.02,0,11.12
0,12.33,0,11.29
0,13.21,0,10.96
0,12.48,0,11.04
0,12.62,0,11.03
0,12.59,0,11.31
0,12.32,0,11.1
0,12.79,0,10.46
0,13.55,0,10.8
0,12.5,0,11.06
0,12.16,0,11.03
0,13.57,0,11.41
0,12.43,0,11.13
0,12.44,0,10.85
0,11.39,0,11.31
0,13.9,0,11.43
0,12.75,0,10.33
0,13.05,0,10.87
0,12.13,0,10.68
0,11.09,0,10.27
0,12.02,0,11.19
0,10.76,0,11.03
0,12.14,0,11.07
0,12.56,0,10.73
0,12.23,0,11.28
0,12.32,0,10.66
0,12.72,0,11.56
0,11.61,0,10.94
0,13.13,0,10.89
0,12.96,0,10.91
0,11.93,0,10.86
0,11.41,0,10.86
0,11.06,0,10.14
0,10.88,0,10.78
0,11.19,0,10.2
0,12.38,0,10.93
0,12.28,0,11.03
0,12.96,0,11.46
0,13.22,0,11.53
0,13.46,0,10.91
0,13.17,0,11.03
0,12.41,0,11.26
0,12.1,0,10.49
0,10.3,0,10.77
0,12.17,0,11.16
0,12.72,0,10.87
0,13.51,0,11.29
0,11.29,0,10.7
0,12.4,0,11.14
0,14.55,0,11.32
0,12.41,0,11
0,12.22,0,10.8
0,13.14,0,10.6
0,12.25,0,10.79
0,12.54,0,11.19
0,12.3,0,11.11
0,11.87,0,11.32
0,13.61,0,10.98
0,11.14,0,10.54
0,12.23,0,11.6
0,13.24,0,11.22
0,13.26,0,11.18
0,11.91,0,10.89
0,13.65,0,11.38
0,12.25,0,10.64
0,12.42,0,10.66
0,12.06,0,10.92
0,12.61,0,11
0,12.7,0,11.26
0,13.5,0,10.78
0,11.8,0,10.84
0,12.68,0,10.52
0,14.02,0,11.2
0,11.35,0,10.58
0,12.08,0,11.13
0,13.61,0,11.36
0,11.86,0,11.19
0,12.38,0,10.62
0,13.05,0,11.18
0,12.07,0,10.93
0,14.08,0,11.47
0,12.49,0,11.21
0,13.39,0,11.05
0,12.35,0,10.61
0,12.44,0,11.39
0,12.95,0,11.8
0,11.9,0,11.03
0,13.7,0,11.2
0,13.92,0,11.5
0,13.35,0,11.05
0,11.12,0,11.23
0,13.17,0,11.22
0,11.21,0,10.92
0,13.78,0,11.2
0,11.95,0,10.48
0,12.24,0,11.12
0,12.02,0,10.38
0,12.39,0,11
0,13.25,0,11.22
0,11.35,0,10.49
0,11.73,0,10.51
0,12.89,0,11.34
0,11.67,0,10.79
0,13.72,0,11.53
0,14.1,0,11.6
0,13.04,0,11.15
0,11.88,0,10.91
0,12.04,0,11.24
0,12.33,0,11.29
0,12.87,0,10.89
0,12.61,0,11.06
0,10.72,0,10.72
0,12.61,0,11.17
0,12.21,0,10.73
0,11.9,0,10.9
0,13,0,10.83
0,12.92,0,11.21
0,11.1,0,10.84
0,12.98,0,12.07
0,11.26,0,10.49
0,13.35,0,10.67
0,10.59,0,10.7
0,12.95,0,10.92
0,12.83,0,11.55
0,12.69,0,10.96
0,12.52,0,11.06
0,12.28,0,10.79
0,12.56,0,11.12
0,13.32,0,10.95
0,13.68,0,11.27
0,13.73,0,11.47
0,12.27,0,10.75
0,12,0,10.76
0,11.91,0,11.11
0,13.91,0,11.05
0,12.57,0,10.84
0,11.64,0,11.06
0,13.03,0,10.32
0,11,0,11.1
0,11.37,0,10.87
0,12.66,0,10.76
0,10.89,0,10.51
0,12.38,0,10.92
0,12.32,0,11.4
0,12.03,0,10.73
0,12.79,0,10.99
0,11.88,0,10.59
0,13.57,0,10.76
0,11.51,0,10.86
0,11.85,0,11.23
0,11.68,0,10.74
0,12.05,0,10.87
0,12.83,0,10.73
0,12.76,0,10.64
0,13.47,0,11.24
0,12.24,0,11.14
0,12.4,0,10.52
0,13.37,0,11.19
0,12.5,0,10.98
0,12.88,0,11.06
0,10.8,0,10.51
0,13.17,0,11.27
0,13.76,0,11.26
0,12.29,0,11.22
0,12.25,0,11.3
0,13.41,0,11.28
0,12.98,0,10.89
0,11.92,0,10.38
0,13.26,0,10.84
0,13.5,0,11.51
0,12.54,0,11.14
0,12.99,0,11.27
0,13.55,0,11.09
0,12.52,0,11.33
0,11.97,0,10.87
0,11.24,0,10.09
0,13.55,0,10.93
0,11.07,0,10.36
0,11.65,0,10.92
0,12.71,0,11.05
0,13.4,0,11.18
0,13.54,0,10.97
0,12.02,0,10.65
0,11.89,0,10.67
0,13.55,0,11.2
0,13.55,0,11.56
0,11.79,0,10.51
0,11.88,0,10.52
0,13.35,0,11.04
0,12.53,0,10.48
0,10.43,0,10.61
0,11.98,0,11.27
0,13.16,0,11.11
0,12.64,0,11.17
0,10.79,0,10.56
0,13.1,0,11.35
0,11,0,11.03
0,13.2,0,10.85
0,12.72,0,10.74
0,12.31,0,10.55
0,13.26,0,11.42
0,13.14,0,11.52
0,11.96,0,10.52
0,12.4,0,10.87
0,11.38,0,10.82
0,11.34,0,11.33
0,13.79,0,11.66
0,12.86,0,10.76
0,11.9,0,10.86
0,12.98,0,11
0,12.68,0,11.46
0,11.91,0,10.41
0,11.83,0,10.8
0,12.09,0,10.74
0,11.99,0,11.53
0,12.21,0,11.22
0,12.14,0,11.39
0,12,0,10.9
0,12.7,0,10.73
0,12.12,0,10.59
0,12.2,0,11.2
0,13.19,0,10.94
0,13.52,0,10.82
0,12.67,0,11.4
0,11.32,0,10.59
0,12.83,0,11.25
0,13.14,0,10.94
0,12.27,0,11.15
0,13.01,0,10.88
0,12.03,0,10.92
0,12.98,0,10.94
0,13.71,0,11.15
0,13.42,0,11.23
0,12.62,0,10.57
0,11.09,0,10.52
0,13.12,0,10.7
0,13,0,11.1
0,11.92,0,10.62
0,13.93,0,11.81
0,11.68,0,10.62
0,13.12,0,11.37
0,12.07,0,10.74
0,11.32,0,11.31
0,12.06,0,10.07
0,12.42,0,10.94
0,12.3,0,10.54
0,13.17,0,11.22
0,11.4,0,10.44
0,12.51,0,11.13
0,10.39,0,10.53
0,12.05,0,11.16
0,12.02,0,10.84
0,10.5,0,10.57
0,13.07,0,10.91
0,11.88,0,10.73
0,11.47,0,11.05
0,11.76,0,11.29
0,11.85,0,10.62
0,12.39,0,10.86
0,12.84,0,11.02
0,13.59,0,10.85
0,13.22,0,11.35
0,12.74,0,11.16
0,13.59,0,11.45
0,10.76,0,10.84
0,13.4,0,10.85
0,12.32,0,11.31
0,13.3,0,10.92
0,11.77,0,10.91
0,11.27,0,10.59
0,12.12,0,10.98
0,13.1,0,11.58
0,13.09,0,11.08
0,10.96,0,11.09
0,13.29,0,11.2
0,11.95,0,10.93
0,12.05,0,10.95
0,12.79,0,11
0,12.48,0,11.14
0,11.38,0,10.51
0,12.82,0,11.11
0,10.81,0,10.26
0,12.54,0,11.23
0,11.14,0,10.45
0,12.5,0,11.24
0,11.37,0,10.3
0,12.33,0,10.71
0,14.13,0,11.05
0,12.24,0,11.1
0,11.09,0,10.42
0,12.62,0,10.58
0,12.25,0,11.1
0,13.31,0,11.52
0,12.49,0,10.86
0,13.61,0,11.63
0,13.86,0,11.75
0,12.85,0,11.42
0,13.28,0,11.25
0,11.72,0,10.6
0,12.66,0,10.98
0,12.52,0,11.06
0,11.98,0,10.84
0,11.73,0,10.68
0,12.96,0,11.1
0,13.06,0,10.88
0,11.75,0,10.27
0,13.26,0,11.23
0,10.51,0,10.93
0,12.94,0,10.96
0,13.33,0,11.1
0,13.46,0,11.23
0,13.43,0,11.43
0,13.5,0,11.23
0,13.1,0,11.45
0,12,0,11.3
0,11.15,0,10.75
0,11.78,0,10.51
0,12.1,0,11.21
0,13.6,0,11.53
0,12.5,0,11.01
0,11.38,0,11.07
0,13.92,0,10.9
0,11.26,0,10.72
0,12.54,0,10.84
0,10.95,0,10.58
1,10.42,1,11.5
1,9.59,1,9.87
1,9.1,1,11.45
1,8.86,1,11.25
1,9.59,1,7.82
1,8.4,1,8.66
1,7.68,1,10.07
1,7.3,1,8.97
1,9.1,1,11.66
1,8.84,1,10.87
1,10.55,1,11.81
1,9.4,1,10.23
1,9.3,1,10.85
1,11.31,1,11.92
1,8.58,1,9.98
1,7.82,1,9.36
1,7.17,1,9.04
1,5.49,1,8.81
1,8.92,1,10.8
1,8.12,1,10.26
1,10.09,1,12.16
1,10.82,1,9.99
1,10.96,1,12.01
1,9.25,1,11.7
1,10.62,1,10.12
1,9.21,1,10.45
1,10.47,1,9
1,9.59,1,11.93
1,10.1,1,10.24
1,9.67,1,11.1
1,11.34,1,11.66
1,11.68,1,11.95
1,11.55,1,10.06
1,7.51,1,10.09
1,9.2,1,10.22
1,12.09,1,11.15
1,7.02,1,8.33
1,9.39,1,9.04
1,7.78,1,9.21
1,9.13,1,9.98
1,11.57,1,11.97
1,10.91,1,12.11
1,10.27,1,10.57
1,12.8,1,11.95
1,13.1,1,11.09
1,10.14,1,11.13
1,7.01,1,9.76
1,6.76,1,7.9
1,6.93,1,9.14
1,9.17,1,10.48
1,11.05,1,10.31
1,6.54,1,9.53
1,12.99,1,12.03
1,8.58,1,10.8
1,10.75,1,10.38
1,10.72,1,11.72
1,10.3,1,11.75
1,9.21,1,11.12
1,6.82,1,8.57
1,8.05,1,11.4
1,7.64,1,8.85
1,8.43,1,10.18
1,9.61,1,11.27
1,8.2,1,11.12
1,11.4,1,9.84
1,9.8,1,11.82
1,7.83,1,9.34
1,9.92,1,10.17
1,8.75,1,8.64
1,7.8,1,10.63
1,10.24,1,10.23
1,9.7,1,11.09
1,6.9,1,9.8
1,10.01,1,10.46
1,7.46,1,12.15
1,8.08,1,9.29
1,8.62,1,8.74
1,8.06,1,9.83
1,8.69,1,10.1
1,9.25,1,11.49
1,8.75,1,11.71
1,12.23,1,11.74
1,11.9,1,9.65
1,7.05,1,5.95
1,11.41,1,11.48
1,5.6,1,9.64
1,6.95,1,10.95
1,8.19,1,10.55
1,12.47,1,11.08
1,12.69,1,12.15
1,10.26,1,11.69
1,9.22,1,9.65
1,8.68,1,10.73
1,9.55,1,10.45
1,10.75,1,11.02
1,9.95,1,10.43
1,10.12,1,10.23
1,9.08,1,8.88
1,9.31,1,10.41
1,11.2,1,11.45
1,9.57,1,10.7
1,8.58,1,10.1
1,9.17,1,9.99
1,10.2,1,8.53
1,7.84,1,11.03
1,8.84,1,10
1,9.93,1,11.23
1,7.87,1,10.5
1,13.21,1,12.05
1,8.74,1,8.66
1,7.86,1,10.99
1,12.83,1,10.16
1,9.88,1,8.75
1,5.57,1,10.63
1,7.55,1,9.26
1,10.97,1,10.77
1,8.9,1,9.67
1,10.76,1,11.87
1,8.82,1,10.5
1,8.21,1,9.75
1,9.68,1,11.18
1,9.45,1,11.62
1,10.21,1,11.34
1,9.11,1,11.84
1,8.34,1,7.35
1,11.29,1,10.43
1,8.01,1,10.01
1,10.87,1,10.09
1,11.38,1,10.8
1,7.05,1,11.14
1,8.28,1,11.43
1,10.03,1,10.16
1,11.14,1,10.92
1,9,1,8.68
1,11.49,1,10.54
1,8.43,1,11.72
1,10.05,1,11.04
1,9.35,1,10.12
1,8.71,1,11.2
1,11.27,1,10.58
1,8.02,1,10.3
1,7.49,1,11.09
1,7.61,1,9.48
1,9.94,1,10.09
1,10.23,1,10.23
1,10.19,1,11.96
1,9.52,1,8.77
1,11.53,1,10.32
1,7.65,1,10.9
1,7.93,1,10.85
1,9.92,1,10.26
1,11.29,1,10.57
1,12.55,1,11.87
1,10.62,1,9.72
1,9.29,1,10.11
1,10.12,1,9.83
1,7.42,1,8.41
1,12.27,1,12.05
1,12.45,1,11.33
1,9.41,1,10.43
1,9.82,1,10.67
1,11.91,1,10.98
1,6.47,1,10.65
1,10.03,1,11.51
1,10.98,1,9.82
1,9.91,1,8.76
1,10.52,1,11.54
1,10.9,1,11.82
1,10.13,1,9.8
1,6.19,1,10.21
1,10.76,1,10.47
1,10.59,1,12.1
1,12.9,1,11.82
1,13.24,1,10.73
1,9.4,1,11.8
1,10.96,1,9.58
1,12.85,1,10.92
1,9.61,1,10.2
1,10.45,1,10.43
1,10.61,1,10.78
1,9.14,1,10.05
1,10.44,1,11.91
1,10.35,1,11.95
1,7.03,1,9.49
1,7.48,1,9.8
1,12.06,1,11.5
1,9.45,1,10.22
1,7.36,1,9.6
1,6.79,1,9.43
1,10.08,1,11.41
1,11.42,1,8.84
1,11.77,1,11.72
1,10.95,1,11.51
1,12.59,1,10.5
1,9.78,1,10.29
1,9.86,1,9.41
1,10.72,1,12.14
1,11.64,1,10.51
1,10.22,1,10.57
1,5.87,1,10.94
1,10.65,1,9.71
1,9.47,1,9.72
1,8.36,1,7.4
1,9.34,1,9.47
1,9.64,1,9.19
1,9.98,1,10.36
1,9.38,1,11.37
1,12.32,1,11.29
1,9.98,1,11.04
1,10.28,1,8.64
1,6.71,1,9.76
1,11.52,1,12.09
1,7.47,1,10.56
1,11.62,1,10.91
1,9.5,1,10.49
1,10.29,1,9.67
1,8.21,1,9.57
1,10.1,1,9.23
1,9.29,1,11.29
1,12.17,1,10.6
1,8.2,1,9.28
1,8.8,1,10.9
1,12.2,1,10.99
1,9.98,1,11.31
1,11.2,1,11.88
1,10.21,1,11.22
1,9.55,1,10.77
1,8.29,1,10.41
1,9.17,1,10.11
1,9.73,1,11.19
1,11.9,1,11.72
1,10.33,1,11.95
1,11.18,1,10.23
1,9.67,1,12.16
1,12.15,1,11.85
1,9.11,1,10.9
1,6.66,1,9.62
1,9.6,1,11.32
1,10.57,1,11.09
1,11.02,1,11.3
1,10.3,1,12
1,11.72,1,11.72
1,9.58,1,10.9
1,11.7,1,12.11
1,10.22,1,11.72
1,8.37,1,11.09
1,11.67,1,10.13
1,9.55,1,12.05
1,10.8,1,11.62
1,9.47,1,11.75
1,7.36,1,10.33
1,11.32,1,10.51
1,8.12,1,9.92
1,9.36,1,9.27
1,8.12,1,10.34
1,9.7,1,10.64
1,9.25,1,11.03
1,11.48,1,10.13
1,10.78,1,10.19
1,9.05,1,9.96
1,9.51,1,10.74
1,10.79,1,12.07
1,8.04,1,9.39
1,10.06,1,10.83
1,9.91,1,11.2
1,9.35,1,11.26
1,9.38,1,11.35
1,9.76,1,11.98
1,8.74,1,8.35
1,10.12,1,10.93
1,8.48,1,11.64
1,8.19,1,8.85
1,6.73,1,8.4
1,9.25,1,9.54
1,11,1,8.63
1,10.34,1,11.64
1,11.01,1,11.24
1,10.82,1,11.46
1,8.54,1,9.71
1,10.85,1,12.02
1,9.51,1,9.72
1,10.6,1,9.2
0,9.71,0,11.19
0,7.26,0,11.04
0,7.93,0,11.19
0,10.75,0,11.27
0,7.75,0,10.76
0,7.05,0,10.76
0,9.21,0,11.57
0,8.8,0,10.4
0,10.97,0,11.49
0,8.99,0,10.92
0,8.05,0,10.85
0,7.23,0,10.41
0,8.85,0,11.34
0,9.27,0,10.9
0,7.83,0,10.43
0,7.11,0,10.92
0,7.83,0,10.69
0,9.03,0,10.71
0,9.48,0,11.81
0,7.85,0,10.96
0,10.32,0,11.14
0,8.37,0,10.18
0,8.71,0,11.13
0,8.75,0,10.87
0,8.81,0,11.01
0,9,0,10.96
0,8.61,0,11.4
0,7.66,0,10.62
0,10.33,0,11.32
0,9.59,0,11.26
0,10.58,0,11.43
0,10.58,0,10.99
0,9.03,0,11.36
0,8.92,0,10.7
0,8.14,0,10.65
0,9.15,0,11.03
0,7.61,0,10.75
0,7.06,0,10.09
0,8.91,0,11.22
0,11.52,0,11.8
0,8.9,0,11.28
0,9.63,0,10.73
0,8.59,0,10.48
0,8.58,0,11.18
0,10.37,0,10.8
0,7.63,0,10.79
0,6.38,0,10.55
0,8.3,0,10.69
0,9.01,0,11.24
0,7.87,0,10.37
0,10.46,0,11
0,5.96,0,10.39
0,9.24,0,11.33
0,9.06,0,11.2
0,9.49,0,11.16
0,8.89,0,10.59
0,8.81,0,11.15
0,6.93,0,11.04
0,5.32,0,10.62
0,7.99,0,11.25
0,8.24,0,10.88
0,7.94,0,11.04
0,7.73,0,10.55
0,8.98,0,11.24
0,8.35,0,10.62
0,8.46,0,10.54
0,9.12,0,11.12
0,7.81,0,10.87
0,10.68,0,11.49
0,10.7,0,11.61
0,8.08,0,11.03
0,8.46,0,11.16
0,7.8,0,10.85
0,10.42,0,11.91
0,7.66,0,11.13
0,8.95,0,10.68
0,8.95,0,11.11
0,7.95,0,11.21
0,8.08,0,11.19
0,6.67,0,10.71
0,7.92,0,11.06
0,10.08,0,11.36
0,8.09,0,10.95
0,8.57,0,11.26
0,6.2,0,10.13
0,6.98,0,10.62
0,8.93,0,11.21
0,6.3,0,10.69
0,9.46,0,11.14
0,9.04,0,11.25
0,9.94,0,11.46
0,7.56,0,11.29
0,8.67,0,10.43
0,8.38,0,11.33
0,9.69,0,11.2
0,8.52,0,11.02
0,7.18,0,10.49
0,8.71,0,11.42
0,7.74,0,10.31
0,8.28,0,11.11
0,9.32,0,11.01
0,7.6,0,11.31
0,11.27,0,11.84
0,8.82,0,11.12
0,8.71,0,11.01
0,7.04,0,10.62
0,7.38,0,10.8
0,12.21,0,11.68
0,9.24,0,10.9
0,6.9,0,10.67
0,7.1,0,10.6
0,8.17,0,10.83
0,8.09,0,10.92
0,7.48,0,11.31
0,8.29,0,11.13
0,7.05,0,10.44
0,7.94,0,10.97
0,8.56,0,10.93
0,9.64,0,11.62
0,9.9,0,11.19
0,7.85,0,11.14
0,7.3,0,11.31
0,10.26,0,11.79
0,8.16,0,11.64
0,9.6,0,11.25
0,7.48,0,11.09
0,7.52,0,11.15
0,7.86,0,11.05
0,6.23,0,10.83
0,9.29,0,10.82
0,9.55,0,10.66
0,9.18,0,11.15
0,7.29,0,10.91
0,8.83,0,10.8
0,8.78,0,10.82
0,6.52,0,11.18
0,9.36,0,10.57
0,7.89,0,11
0,7.99,0,11.26
0,6.25,0,10.79
0,7.69,0,11.38
0,9.25,0,11.07
0,8.37,0,11.4
0,8.78,0,10.62
0,7.87,0,10.92
0,9.89,0,10.94
0,9.36,0,11.58
0,8.08,0,10.45
0,7.33,0,10.88
0,8.45,0,11.39
0,9.73,0,10.92
0,8.49,0,10.34
0,7.89,0,11.18
0,8.74,0,11.42
0,9.82,0,11.52
0,9.69,0,11.22
0,10.92,0,11.14
0,6.67,0,10.57
0,8.42,0,11
0,5.3,0,10.66
0,9.04,0,11.26
0,8.9,0,10.97
0,9.06,0,11.29
0,8.51,0,10.57
0,7.45,0,10.69
0,9.38,0,11.23
0,8.05,0,10.7
0,11.81,0,11.58
0,7.96,0,11.07
0,8.98,0,11.11
0,8.94,0,11.19
0,7.91,0,10.85
0,7.24,0,10.73
0,9.85,0,11.46
0,8.44,0,11.99
0,8.03,0,10.48
0,8.57,0,11.4
0,9.09,0,11.27
0,7.59,0,10.88
